toa,toa_sub,Female,Gender - All,Male,Unspecified,cube,quarter
Non-permanent,46-Excepted Service - Executive,109.0,515.0,406.0,,Employment - September 2008,2008-09
Non-permanent,48-Excepted Service - Other,19848.0,40477.0,20622.0,,Employment - September 2008,2008-09
Non-permanent,60-Senior Executive Service - Limited Term,36.0,132.0,96.0,,Employment - September 2008,2008-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2008,2008-09
Non-permanent,Non-permanent,46108.0,107666.0,61551.0,,Employment - September 2008,2008-09
Unspecified,Unspecified,43.0,121.0,78.0,,Employment - September 2008,2008-09
Permanent,10-Competitive Service - Career,494048.0,1109818.0,615770.0,,Employment - September 2009,2009-09
Permanent,15-Competitive Service - Career-Conditional,85840.0,212359.0,126519.0,,Employment - September 2009,2009-09
Permanent,30-Excepted Service - Schedule A,16643.0,39775.0,23132.0,,Employment - September 2009,2009-09
Permanent,32-Excepted Service - Schedule B,25034.0,64127.0,39093.0,,Employment - September 2009,2009-09
Permanent,36-Excepted Service - Executive,,16.0,,,Employment - September 2009,2009-09
Permanent,38-Excepted Service - Other,139311.0,323517.0,184203.0,,Employment - September 2009,2009-09
Permanent,50-Senior Executive Service - Career,2086.0,6966.0,4880.0,,Employment - September 2009,2009-09
Permanent,55-Senior Executive Service - Non-Career,200.0,501.0,301.0,,Employment - September 2009,2009-09
Permanent,**-Unspecified,12.0,26.0,14.0,,Employment - September 2009,2009-09
Permanent,Permanent,763181.0,1757105.0,993921.0,,Employment - September 2009,2009-09
Non-permanent,20-Competitive Service,14194.0,42167.0,27973.0,,Employment - September 2009,2009-09
Non-permanent,40-Excepted Service - Schedule A,10528.0,24079.0,13551.0,,Employment - September 2009,2009-09
Non-permanent,42-Excepted Service - Schedule B,6081.0,13360.0,7279.0,,Employment - September 2009,2009-09
Non-permanent,44-Excepted Service - Schedule C,666.0,1266.0,600.0,,Employment - September 2009,2009-09
Non-permanent,46-Excepted Service - Executive,109.0,410.0,301.0,,Employment - September 2009,2009-09
Non-permanent,48-Excepted Service - Other,17377.0,38677.0,21299.0,,Employment - September 2009,2009-09
Non-permanent,60-Senior Executive Service - Limited Term,42.0,136.0,94.0,,Employment - September 2009,2009-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2009,2009-09
Non-permanent,Non-permanent,49001.0,120101.0,71099.0,,Employment - September 2009,2009-09
Unspecified,Unspecified,41.0,109.0,68.0,,Employment - September 2009,2009-09
Permanent,10-Competitive Service - Career,496299.0,1116381.0,620082.0,,Employment - December 2009,2009-12
Permanent,15-Competitive Service - Career-Conditional,88786.0,222031.0,133245.0,,Employment - December 2009,2009-12
Permanent,30-Excepted Service - Schedule A,16847.0,40147.0,23300.0,,Employment - December 2009,2009-12
Permanent,32-Excepted Service - Schedule B,25215.0,64045.0,38830.0,,Employment - December 2009,2009-12
Permanent,36-Excepted Service - Executive,,17.0,,,Employment - December 2009,2009-12
